date,Belgium,Denmark,Greece,Spain,Ireland,Italy,Netherlands,Austria,Portugal,Finland,Sweden,UK
01.01.1990,6287,3166,3313,13986,1326,22833,7182,4860,2867,6688,15112,29036
01.02.1990,5546,2737,2837,11785,1225,20379,6372,4157,2214,5536,12774,29184
01.03.1990,5975,2906,3017,12767,1292,22035,6886,4130,2338,5927,13682,34522
01.04.1990,5461,2550,2714,11805,1189,20113,6319,4044,2157,5176,11767,24910
01.05.1990,5272,2532,2909,11693,1162,20820,6521,3823,2273,4969,10687,22648
01.06.1990,5171,2398,2940,12254,1077,20504,6372,3766,2208,4262,9246,27986
01.07.1990,4735,2116,3215,12900,1084,21495,6322,3818,2387,4355,8309,21600
01.08.1990,5132,2635,3040,11502,1098,17261,6586,3696,2090,4820,9779,21369
01.09.1990,5293,2587,2577,12207,1150,20769,6589,3917,2235,5064,11086,28826
01.10.1990,5869,2850,3020,11973,1268,21933,7205,4275,2392,5687,13003,25178
01.11.1990,6115,3097,2912,12682,1332,21559,7183,4478,2430,6150,14432,28215
01.12.1990,6278,3147,3124,14291,1363,21866,7314,4779,2670,6091,15109,36529
01.01.1991,6557,3415,3322,14829,1443,23003,7522,4915,2751,6646,15840,30345
01.02.1991,6195,3270,2973,13614,1317,21302,6892,4665,2474,6173,14986,31929
01.03.1991,5997,3240,3001,12393,1318,21675,7114,4536,2466,6127,14290,34630
01.04.1991,5610,2952,2753,12203,1207,20183,6566,4133,2225,5361,12339,25668
01.05.1991,5611,2896,2756,12461,1217,21074,6697,4110,2318,5157,11237,24428
01.06.1991,5410,2745,2911,11761,1120,20451,6513,3997,2243,4061,9628,28167
01.07.1991,5015,2421,3191,13256,1182,21945,6651,4027,2515,4216,8175,21916
01.08.1991,5149,2874,3077,11882,1142,17354,6700,3900,2205,4631,9353,21089
01.09.1991,5433,2874,2920,12692,1191,21361,6767,3969,2379,5045,10302,27825
01.10.1991,6160,3184,2942,13052,1325,22197,7391,4418,2485,5595,12383,25989
01.11.1991,6337,3369,3001,13018,1389,22118,7296,4633,2499,5752,13371,28553
01.12.1991,6622,3405,3365,13865,1401,22741,7184,4954,2653,5915,14366,36072
01.01.1992,6863,3543,3431,15434,1553,23508,7593,4944,2986,6345,14851,29177
01.02.1992,6284,3231,3280,13991,1331,22482,7077,4588,2660,5913,13786,30104
01.03.1992,6402,3256,3265,13779,1363,23149,7322,4666,2559,5988,13910,35306
01.04.1992,5917,2982,2870,12694,1290,21142,6848,4186,2414,5463,12852,25749
01.05.1992,5620,2733,2957,12568,1250,21266,6817,3981,2456,5006,10468,23718
